,id,tweet,sentimiento,entidad
0,1595293762326073344,La vacuna me sentó como un tiro  he pasado un año muy malo  por suerte he mejorado muchísimo  aunque aún sigue el miedo de lo que puede pasar en un futuro  no entiendo como hay quien se pone la 4+ gripe y tan pichis cuando a mi me pasó de todo! Mala suerte dicen  que soy yo…,negativo,COVID-19
1,1595293562568151040,@MonumentalCR Yo con una trombosis inducida por la vacuna no quiero saber nada más de esa porquería,negativo,COVID-19
2,1595293537263837184,@jpcarrion1 @J040NURA @Patticcha @chokosoda @Minsa_Peru Una vacuna evita contagios? Jajjajajajjaa que ven mis oídos mano...,positivo,COVID-19
3,1595293519136149505,@mario_dico50 Que te recuperes pronto! Ya te pusiste la vacuna de influenza? Es importante  porque hay muchos casos.,positivo,COVID-19
4,1595293351808729095,@lahoragt Comunicadores que nunca aprendieron que la vacuna COVID-19 no es contra la enfermedad  la vacuna COVID-19 es para prevenir el contagio del 𝗘𝗟 SARS-CoV-2 y sus variantes.,positivo,COVID-19: Latest news updates from around the world
5,1595293341712875521,Lo bueno es que el licenciado López Obrador les está quitando los retrovirales y les está negando la vacuna para la viruela del mono https://t.co/WctfiGl5YN,positivo,Mexico political figures
6,1595293297190248450,En segundo lugar   ha provocado pensamientos suicidas. Las personas  se sentían sin esperanza porque aún no se tenía una vacuna y los hospitales estaban colapsando. Al no tener una ayuda necesaria  se generaba impulsos suicidas. https://t.co/Esu6W9BLlL,negativo,COVID-19
7,1595293112431263745,@buenaslastenga Bendito sea el licenciado Andrés Manuel López Obrador que les está quitando los retrovirales y negándoles la vacuna para la viruela del mono,positivo,Mexico political figures
8,1595292539363491842,Yo ya ni sé cuántas dosis de la vacuna tengo saben genuinamente no me acuerdo si ya me puse la cuarta,neutral,COVID-19
9,1595292225323544578,Te puede interesar &gt; Una vacuna experimental contra el cáncer tiene resultados prometedores en ensayos con animales https://t.co/tB3Pk2irLK,positivo,COVID-19
